chapter,section_number,section_name,chapter_title,youtube_title,title_length,video_filename,video_path,video_size_mb,category_id,privacy_status,tags,description
1,1,Overview,Overview of Obstetrics,Williams Obstetrics (26e) | Ch 01: Overview of Obstetrics (Read-Along Audiobook),80,Chapter_01_Overview_of_Obstetrics.mp4,/Volumes/Kingston/Gynae/videos/Chapter_01_Overview_of_Obstetrics.mp4,36.33,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 1 Overview of Obstetrics, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Overview","Williams Obstetrics, 26th Edition
Section 1: Overview
Chapter 01: Overview of Obstetrics

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 01: Overview of Obstetrics

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
2,2,Maternal Anatomy and Physiology,Maternal Anatomy,Williams Obstetrics (26e) | Ch 02: Maternal Anatomy (Read-Along Audiobook),74,Chapter_02_Maternal_Anatomy.mp4,/Volumes/Kingston/Gynae/videos/Chapter_02_Maternal_Anatomy.mp4,85.67,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 2 Maternal Anatomy, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Maternal Anatomy and Physiology","Williams Obstetrics, 26th Edition
Section 2: Maternal Anatomy and Physiology
Chapter 02: Maternal Anatomy

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 02: Maternal Anatomy

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
3,2,Maternal Anatomy and Physiology,Congenital Genitourinary Abnormalities,Williams Obstetrics (26e) | Ch 03: Congenital Genitourinary Abnormalities (Read-Along Audiobook),96,Chapter_03_Congenital_Genitourinary_Abnormalities.mp4,/Volumes/Kingston/Gynae/videos/Chapter_03_Congenital_Genitourinary_Abnormalities.mp4,95.43,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 3 Congenital Genitourinary Abnormalities, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Maternal Anatomy and Physiology","Williams Obstetrics, 26th Edition
Section 2: Maternal Anatomy and Physiology
Chapter 03: Congenital Genitourinary Abnormalities

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 03: Congenital Genitourinary Abnormalities

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
4,2,Maternal Anatomy and Physiology,Maternal Physiology,Williams Obstetrics (26e) | Ch 04: Maternal Physiology (Read-Along Audiobook),77,Chapter_04_Maternal_Physiology.mp4,/Volumes/Kingston/Gynae/videos/Chapter_04_Maternal_Physiology.mp4,80.74,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 4 Maternal Physiology, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Maternal Anatomy and Physiology","Williams Obstetrics, 26th Edition
Section 2: Maternal Anatomy and Physiology
Chapter 04: Maternal Physiology

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 04: Maternal Physiology

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
5,3,"Placentation, Embryogenesis, and Fetal Development",Implantation and Placental Development,Williams Obstetrics (26e) | Ch 05: Implantation and Placental Development (Read-Along Audiobook),96,Chapter_05_Implantation_and_Placental_Development.mp4,/Volumes/Kingston/Gynae/videos/Chapter_05_Implantation_and_Placental_Development.mp4,68.81,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 5 Implantation and Placental Development, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Placentation, Embryogenesis, and Fetal Development","Williams Obstetrics, 26th Edition
Section 3: Placentation, Embryogenesis, and Fetal Development
Chapter 05: Implantation and Placental Development

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 05: Implantation and Placental Development

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
6,3,"Placentation, Embryogenesis, and Fetal Development",Placental Abnormalities,Williams Obstetrics (26e) | Ch 06: Placental Abnormalities (Read-Along Audiobook),81,Chapter_06_Placental_Abnormalities.mp4,/Volumes/Kingston/Gynae/videos/Chapter_06_Placental_Abnormalities.mp4,29.89,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 6 Placental Abnormalities, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Placentation, Embryogenesis, and Fetal Development","Williams Obstetrics, 26th Edition
Section 3: Placentation, Embryogenesis, and Fetal Development
Chapter 06: Placental Abnormalities

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 06: Placental Abnormalities

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
7,3,"Placentation, Embryogenesis, and Fetal Development",Embryogenesis and Fetal Development,Williams Obstetrics (26e) | Ch 07: Embryogenesis and Fetal Development (Read-Along Audiobook),93,Chapter_07_Embryogenesis_and_Fetal_Development.mp4,/Volumes/Kingston/Gynae/videos/Chapter_07_Embryogenesis_and_Fetal_Development.mp4,54.61,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 7 Embryogenesis and Fetal Development, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Placentation, Embryogenesis, and Fetal Development","Williams Obstetrics, 26th Edition
Section 3: Placentation, Embryogenesis, and Fetal Development
Chapter 07: Embryogenesis and Fetal Development

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 07: Embryogenesis and Fetal Development

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
8,4,Preconceptional and Prenatal Care,"Teratology, Teratogens, and Fetotoxic","Williams Obstetrics (26e) | Ch 08: Teratology, Teratogens, and Fetotoxic (Read-Along Audiobook)",95,Chapter_08_Teratology_Teratogens_and_Fetotoxic_Agents.mp4,/Volumes/Kingston/Gynae/videos/Chapter_08_Teratology_Teratogens_and_Fetotoxic_Agents.mp4,52.09,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 8 Teratology, Teratogens, and Fetotoxic, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Preconceptional and Prenatal Care","Williams Obstetrics, 26th Edition
Section 4: Preconceptional and Prenatal Care
Chapter 08: Teratology, Teratogens, and Fetotoxic

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 08: Teratology, Teratogens, and Fetotoxic

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
9,4,Preconceptional and Prenatal Care,Preconceptional Counseling,Williams Obstetrics (26e) | Ch 09: Preconceptional Counseling (Read-Along Audiobook),84,Chapter_09_Preconceptional_Counseling.mp4,/Volumes/Kingston/Gynae/videos/Chapter_09_Preconceptional_Counseling.mp4,20.44,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 9 Preconceptional Counseling, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Preconceptional and Prenatal Care","Williams Obstetrics, 26th Edition
Section 4: Preconceptional and Prenatal Care
Chapter 09: Preconceptional Counseling

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 09: Preconceptional Counseling

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
10,4,Preconceptional and Prenatal Care,Prenatal Care,Williams Obstetrics (26e) | Ch 10: Prenatal Care (Read-Along Audiobook),71,Chapter_10_Prenatal_Care.mp4,/Volumes/Kingston/Gynae/videos/Chapter_10_Prenatal_Care.mp4,53.75,27,public,"Williams Obstetrics, Williams Obstetrics 26th edition, Chapter 10 Prenatal Care, Obstetrics, Gynecology, OBGYN, Medical Audiobook, Read Along Medical Video, USMLE Step 2 CK, USMLE Step 3, MRCOG, ABOG, Maternal Fetal Medicine, High Risk Pregnancy, Preconceptional and Prenatal Care","Williams Obstetrics, 26th Edition
Section 4: Preconceptional and Prenatal Care
Chapter 10: Prenatal Care

🎧 Complete 1080p Read-Along Video with synchronized sentence-level subtitles and neural audio narration.
📚 Medical Textbook: Williams Obstetrics (26th Edition, McGraw-Hill)

📌 Williams Obstetrics 26e Full Playlist:
https://www.youtube.com/playlist?list=PL_WILLIAMS_OBSTETRICS_26E

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⏱️ CHAPTER TIMESTAMPS
00:00 - Chapter 10: Prenatal Care

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
⚕️ CLINICAL & EDUCATIONAL DISCLAIMER
This video and audio narration is intended strictly for medical students, obstetrical residents, physicians, midwives, and healthcare professionals preparing for board examinations (USMLE Step 2 CK, Step 3, MRCOG, Royal College, ABOG, and specialty licensing). Medicine and pharmacology are constantly evolving fields. Clinicians must always verify diagnostic protocols, drug dosages, and contraindications against primary sources and institutional guidelines."
